Entidad,Año,Clave_Ent,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
NUEVO LEON,2017,19,44.0,46.0,60.0,54.0,73.0,63.0,42.0,37.0,48.0,61.0,49.0,36.0
NUEVO LEON,2018,19,45.0,44.0,40.0,61.0,58.0,34.0,70.0,60.0,74.0,83.0,83.0,94.0
NUEVO LEON,2019,19,92.0,105.0,65.0,61.0,78.0,85.0,74.0,74.0,69.0,64.0,54.0,68.0
NUEVO LEON,2020,19,67.0,73.0,80.0,76.0,78.0,87.0,60.0,74.0,70.0,59.0,72.0,51.0
NUEVO LEON,2021,19,79.0,69.0,81.0,81.0,87.0,98.0,108.0,100.0,89.0,70.0,44.0,97.0
NUEVO LEON,2022,19,90.0,103.0,81.0,92.0,129.0,127.0,120.0,153.0,119.0,127.0,87.0,100.0
NUEVO LEON,2023,19,108.0,85.0,97.0,121.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OAXACA,2015,20,0.0,47.0,0.0,0.0,56.0,0.0,0.0,41.0,0.0,0.0,57.0,0.0
OAXACA,2016,20,48.0,47.0,65.0,53.0,55.0,63.0,74.0,81.0,79.0,0.0,91.0,82.0
OAXACA,2017,20,69.0,62.0,68.0,101.0,63.0,70.0,74.0,75.0,64.0,67.0,74.0,68.0
OAXACA,2018,20,65.0,83.0,92.0,103.0,91.0,80.0,68.0,82.0,80.0,78.0,87.0,74.0
OAXACA,2019,20,77.0,63.0,73.0,82.0,85.0,98.0,91.0,94.0,74.0,99.0,79.0,96.0
OAXACA,2020,20,91.0,56.0,83.0,75.0,77.0,57.0,63.0,71.0,50.0,66.0,52.0,68.0
OAXACA,2021,20,67.0,58.0,71.0,59.0,52.0,54.0,56.0,65.0,60.0,75.0,52.0,64.0
OAXACA,2022,20,54.0,52.0,60.0,59.0,86.0,57.0,66.0,97.0,65.0,92.0,60.0,77.0
OAXACA,2023,20,77.0,63.0,59.0,66.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUEBLA,2015,21,39.0,35.0,37.0,38.0,40.0,39.0,41.0,47.0,43.0,48.0,54.0,32.0
PUEBLA,2016,21,42.0,47.0,52.0,69.0,57.0,52.0,52.0,49.0,60.0,45.0,35.0,21.0
PUEBLA,2017,21,51.0,55.0,72.0,68.0,81.0,65.0,94.0,72.0,86.0,84.0,98.0,68.0
PUEBLA,2018,21,82.0,86.0,94.0,104.0,98.0,86.0,95.0,98.0,93.0,88.0,95.0,86.0
PUEBLA,2019,21,78.0,119.0,100.0,82.0,113.0,87.0,100.0,86.0,87.0,87.0,78.0,92.0
PUEBLA,2020,21,74.0,71.0,82.0,92.0,76.0,65.0,76.0,82.0,64.0,62.0,62.0,66.0
PUEBLA,2021,21,61.0,47.0,76.0,71.0,62.0,57.0,77.0,69.0,69.0,64.0,78.0,66.0
PUEBLA,2022,21,59.0,88.0,75.0,87.0,89.0,62.0,72.0,80.0,78.0,71.0,61.0,88.0
PUEBLA,2023,21,74.0,64.0,69.0,61.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUERETARO,2015,22,9.0,9.0,12.0,11.0,11.0,10.0,12.0,13.0,10.0,13.0,13.0,8.0
QUERETARO,2016,22,12.0,9.0,12.0,8.0,14.0,7.0,7.0,6.0,15.0,8.0,12.0,8.0
QUERETARO,2017,22,12.0,12.0,14.0,21.0,8.0,21.0,10.0,20.0,19.0,14.0,9.0,15.0
QUERETARO,2018,22,14.0,10.0,15.0,12.0,14.0,16.0,14.0,18.0,22.0,7.0,16.0,22.0
QUERETARO,2019,22,13.0,16.0,18.0,13.0,15.0,11.0,17.0,17.0,20.0,9.0,12.0,15.0
QUERETARO,2020,22,12.0,11.0,26.0,11.0,18.0,8.0,15.0,23.0,11.0,22.0,13.0,12.0
QUERETARO,2021,22,15.0,14.0,16.0,21.0,22.0,9.0,14.0,11.0,16.0,14.0,19.0,14.0
QUERETARO,2022,22,17.0,12.0,3.0,15.0,15.0,11.0,13.0,9.0,20.0,16.0,17.0,18.0
QUERETARO,2023,22,16.0,10.0,18.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUINTANA ROO,2015,23,15.0,12.0,11.0,20.0,11.0,23.0,21.0,29.0,24.0,23.0,27.0,12.0
QUINTANA ROO,2016,23,8.0,12.0,8.0,14.0,11.0,12.0,13.0,23.0,18.0,18.0,18.0,10.0
QUINTANA ROO,2017,23,13.0,17.0,20.0,24.0,26.0,34.0,35.0,38.0,32.0,48.0,35.0,37.0
QUINTANA ROO,2018,23,40.0,33.0,44.0,57.0,67.0,59.0,95.0,87.0,82.0,61.0,63.0,75.0
QUINTANA ROO,2019,23,57.0,60.0,54.0,69.0,32.0,48.0,69.0,64.0,57.0,62.0,51.0,62.0
QUINTANA ROO,2020,23,59.0,65.0,64.0,50.0,41.0,33.0,51.0,45.0,55.0,44.0,44.0,30.0
QUINTANA ROO,2021,23,29.0,46.0,50.0,61.0,54.0,48.0,40.0,60.0,54.0,51.0,53.0,39.0
QUINTANA ROO,2022,23,29.0,35.0,47.0,41.0,51.0,47.0,46.0,49.0,61.0,53.0,52.0,51.0
QUINTANA ROO,2023,23,47.0,50.0,51.0,58.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN LUIS POTOSI,2015,24,19.0,13.0,15.0,13.0,25.0,21.0,22.0,19.0,17.0,26.0,23.0,28.0
SAN LUIS POTOSI,2016,24,20.0,15.0,13.0,18.0,35.0,34.0,21.0,27.0,23.0,43.0,29.0,28.0
SAN LUIS POTOSI,2017,24,37.0,32.0,26.0,23.0,43.0,43.0,46.0,48.0,44.0,36.0,28.0,45.0
SAN LUIS POTOSI,2018,24,30.0,37.0,43.0,41.0,50.0,43.0,41.0,44.0,32.0,35.0,31.0,30.0
SAN LUIS POTOSI,2019,24,34.0,29.0,47.0,28.0,36.0,39.0,34.0,40.0,45.0,36.0,48.0,37.0
SAN LUIS POTOSI,2020,24,39.0,43.0,43.0,40.0,54.0,50.0,70.0,72.0,52.0,65.0,48.0,45.0
SAN LUIS POTOSI,2021,24,59.0,52.0,67.0,59.0,61.0,62.0,41.0,56.0,38.0,43.0,38.0,38.0
SAN LUIS POTOSI,2022,24,40.0,53.0,50.0,51.0,66.0,54.0,40.0,46.0,37.0,40.0,33.0,37.0
SAN LUIS POTOSI,2023,24,39.0,40.0,36.0,39.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SINALOA,2015,25,54.0,67.0,55.0,72.0,86.0,71.0,72.0,77.0,65.0,68.0,81.0,73.0
SINALOA,2016,25,71.0,83.0,43.0,71.0,79.0,74.0,66.0,93.0,96.0,79.0,89.0,78.0
